날짜,기온
2023-01-02,-4.38
2023-01-03,-4.96
2023-01-04,-1.91
2023-01-05,-1.72
2023-01-06,0.32
2023-01-09,3.52
2023-01-10,1.46
2023-01-11,2.69
2023-01-12,5.32
2023-01-13,8.32
2023-01-16,-4.24
2023-01-17,-3.87
2023-01-18,-1.8
2023-01-19,-0.7
2023-01-20,-2.45
2023-01-24,-13.84
2023-01-25,-12.01
2023-01-26,-6.2
2023-01-27,-6.94
2023-01-30,-0.8
2023-01-31,1.83
2023-02-01,1.63
2023-02-02,-2.32
2023-02-03,-1.55
2023-02-06,2.95
2023-02-07,3.48
2023-02-08,2.39
2023-02-09,3.53
2023-02-10,4.21
2023-02-13,6.12
2023-02-14,1.93
2023-02-15,3.07
2023-02-16,2.52
2023-02-17,3.18
2023-02-20,-0.24
2023-02-21,-1.32
2023-02-22,0.94
2023-02-23,2.69
2023-02-24,3.73
2023-02-27,4.25
2023-02-28,3.91
2023-03-02,2.35
2023-03-03,4.15
2023-03-06,8.89
2023-03-07,11.5
2023-03-08,12.28
2023-03-09,10.72
2023-03-10,13.12
2023-03-13,2.58
2023-03-14,8.83
2023-03-15,9.13
2023-03-16,4.58
2023-03-17,6.85
2023-03-20,9.28
2023-03-21,12.65
2023-03-22,16.37
2023-03-23,17.85
2023-03-24,12.67
2023-03-27,7.29
2023-03-28,8.95
2023-03-29,11.64
2023-03-30,13.27
2023-03-31,14.74
2023-04-03,18.91
2023-04-04,18.08
2023-04-05,12.1
2023-04-06,8.97
2023-04-07,9.11
2023-04-10,12.79
2023-04-11,13.35
2023-04-12,10.16
2023-04-13,11.63
2023-04-14,15.82
2023-04-17,12.71
2023-04-18,14.11
2023-04-19,18.54
2023-04-20,16.16
2023-04-21,16.61
2023-04-24,16.18
2023-04-25,11.04
2023-04-26,10.22
2023-04-27,12.5
2023-04-28,15.18
2023-05-02,16.53
2023-05-03,19.17
2023-05-04,21.09
2023-05-08,15.02
2023-05-09,16.77
2023-05-10,18.32
2023-05-11,19.54
2023-05-12,18.49
2023-05-15,20.28
2023-05-16,23.79
2023-05-17,23.4
2023-05-18,21.74
2023-05-19,22.28
2023-05-22,20.2
2023-05-23,20.56
2023-05-24,20.53
2023-05-25,21.14
2023-05-26,21.23
2023-05-29,23.0
2023-05-30,24.1
2023-05-31,22.86
2023-06-01,22.67
2023-06-02,20.52
2023-06-05,21.53
2023-06-07,21.27
2023-06-08,20.66
2023-06-09,22.93
2023-06-12,22.22
2023-06-13,22.13
2023-06-14,20.78
2023-06-15,22.55
2023-06-16,23.62
2023-06-19,28.38
2023-06-20,24.99
2023-06-21,20.6
2023-06-22,22.39
2023-06-23,24.23
2023-06-26,24.5
2023-06-27,25.2
2023-06-28,26.41
2023-06-29,24.55
2023-06-30,25.28
2023-07-03,28.95
2023-07-04,26.35
2023-07-05,24.53
2023-07-06,27.05
2023-07-07,26.92
2023-07-10,26.39
2023-07-11,23.82
2023-07-12,25.52
2023-07-13,25.39
2023-07-14,24.56
2023-07-17,25.42
2023-07-18,25.25
2023-07-19,27.05
2023-07-20,27.9
2023-07-21,29.29
2023-07-24,26.81
2023-07-25,27.74
2023-07-26,27.6
2023-07-27,28.3
2023-07-28,29.45
2023-07-31,28.42
2023-08-01,29.84
2023-08-02,29.78
2023-08-03,29.4
2023-08-04,29.99
2023-08-07,30.57
2023-08-08,30.91
2023-08-09,28.76
2023-08-10,22.55
2023-08-11,23.3
2023-08-14,28.05
2023-08-16,27.56
2023-08-17,28.04
2023-08-18,29.04
2023-08-21,29.32
2023-08-22,28.07
2023-08-23,25.03
2023-08-24,24.92
2023-08-25,26.53
2023-08-28,22.76
2023-08-29,24.05
2023-08-30,22.95
2023-08-31,23.82
2023-09-01,24.39
2023-09-04,27.02
2023-09-05,28.41
2023-09-06,27.94
2023-09-07,26.32
2023-09-08,25.25
2023-09-11,25.52
2023-09-12,25.49
2023-09-13,22.5
2023-09-14,23.02
2023-09-15,22.39
2023-09-18,24.8
2023-09-19,23.99
2023-09-20,21.02
2023-09-21,20.12
2023-09-22,20.26
2023-09-25,21.59
2023-09-26,19.87
2023-09-27,21.43
2023-10-02,18.21
2023-10-04,17.4
2023-10-05,14.29
2023-10-06,15.31
2023-10-10,16.98
2023-10-11,17.62
2023-10-12,17.4
2023-10-13,17.62
2023-10-16,15.19
2023-10-17,13.66
2023-10-18,15.17
2023-10-19,17.26
2023-10-20,12.26
2023-10-23,15.1
2023-10-24,15.33
2023-10-25,16.48
2023-10-26,17.4
2023-10-27,15.73
2023-10-30,14.94
2023-10-31,16.14
2023-11-01,18.81
2023-11-02,20.93
2023-11-03,19.54
2023-11-06,14.44
2023-11-07,6.12
2023-11-08,7.92
2023-11-09,11.43
2023-11-10,4.12
2023-11-13,1.88
2023-11-14,4.58
2023-11-15,6.87
2023-11-16,6.78
2023-11-17,2.33
2023-11-20,6.22
2023-11-21,7.25
2023-11-22,8.9
2023-11-23,10.74
2023-11-24,-0.96
2023-11-27,6.28
2023-11-28,1.72
2023-11-29,-1.15
2023-11-30,-4.15
2023-12-01,-3.42
2023-12-04,2.4
2023-12-05,6.68
2023-12-06,6.12
2023-12-07,6.41
2023-12-08,10.72
2023-12-11,9.53
2023-12-12,5.5
2023-12-13,6.41
2023-12-14,7.81
2023-12-15,5.15
2023-12-18,-8.0
2023-12-19,-3.99
2023-12-20,-6.69
2023-12-21,-11.69
2023-12-22,-11.73
2023-12-26,1.59
2023-12-27,1.51
2023-12-28,1.14
2023-12-29,1.54
