날짜,충전량
2022-01-03,332736
2022-01-04,347113
2022-01-05,345558
2022-01-06,345797
2022-01-07,364876
2022-01-10,330978
2022-01-11,354300
2022-01-12,379934
2022-01-13,388544
2022-01-14,388404
2022-01-17,350997
2022-01-18,368596
2022-01-19,356536
2022-01-20,365984
2022-01-21,380854
2022-01-24,319168
2022-01-25,321842
2022-01-26,343438
2022-01-27,350854
2022-01-28,353868
2022-02-03,321760
2022-02-04,341525
2022-02-07,330080
2022-02-08,330823
2022-02-09,331738
2022-02-10,324677
2022-02-11,334487
2022-02-14,307293
2022-02-15,339885
2022-02-16,363561
2022-02-17,365481
2022-02-18,377258
2022-02-21,340512
2022-02-22,355100
2022-02-23,371614
2022-02-24,377162
2022-02-25,362747
2022-02-28,312609
2022-03-02,316815
2022-03-03,315419
2022-03-04,321460
2022-03-07,312575
2022-03-08,320869
2022-03-09,273224
2022-03-10,298758
2022-03-11,313792
2022-03-14,286951
2022-03-15,317393
2022-03-16,310282
2022-03-17,298478
2022-03-18,337149
2022-03-21,317353
2022-03-22,326359
2022-03-23,339328
2022-03-24,344067
2022-03-25,333549
2022-03-28,324474
2022-03-29,334715
2022-03-30,318650
2022-03-31,325396
2022-04-01,358829
2022-04-04,331173
2022-04-05,384683
2022-04-06,337215
2022-04-07,342778
2022-04-08,364942
2022-04-11,324089
2022-04-12,319738
2022-04-13,313322
2022-04-14,350213
2022-04-15,370647
2022-04-18,330189
2022-04-19,330846
2022-04-20,342026
2022-04-21,346565
2022-04-22,362448
2022-04-25,323468
2022-04-26,313322
2022-04-27,350810
2022-04-28,353709
2022-04-29,357446
2022-05-02,336123
2022-05-03,354957
2022-05-04,370002
2022-05-06,385222
2022-05-09,351521
2022-05-10,348834
2022-05-11,340638
2022-05-12,355697
2022-05-13,361837
2022-05-16,338066
2022-05-17,348278
2022-05-18,357266
2022-05-19,351706
2022-05-20,374161
2022-05-23,339242
2022-05-24,358508
2022-05-25,364618
2022-05-26,366530
2022-05-27,391674
2022-05-30,343134
2022-05-31,360352
2022-06-01,331319
2022-06-02,355285
2022-06-03,395010
2022-06-07,351963
2022-06-08,359355
2022-06-09,365668
2022-06-10,384302
2022-06-13,344071
2022-06-14,334694
2022-06-15,351032
2022-06-16,382772
2022-06-17,401090
2022-06-20,371479
2022-06-21,385801
2022-06-22,389317
2022-06-23,365852
2022-06-24,394492
2022-06-27,359844
2022-06-28,383112
2022-06-29,375250
2022-06-30,383212
2022-07-01,435547
2022-07-04,389064
2022-07-05,397223
2022-07-06,410673
2022-07-07,409373
2022-07-08,414444
2022-07-11,363776
2022-07-12,388220
2022-07-13,348352
2022-07-14,414193
2022-07-15,427224
2022-07-18,344960
2022-07-19,395459
2022-07-20,407881
2022-07-21,382015
2022-07-22,401320
2022-07-25,398395
2022-07-26,413306
2022-07-27,422022
2022-07-28,430243
2022-07-29,454446
2022-08-01,395544
2022-08-02,399696
2022-08-03,413007
2022-08-04,433811
2022-08-05,444643
2022-08-08,369185
2022-08-09,381915
2022-08-10,386687
2022-08-11,381359
2022-08-12,443607
2022-08-16,376655
2022-08-17,392050
2022-08-18,416916
2022-08-19,419209
2022-08-22,400473
2022-08-23,387169
2022-08-24,398713
2022-08-25,404480
2022-08-26,442685
2022-08-29,385422
2022-08-30,361903
2022-08-31,419389
2022-09-01,421093
2022-09-02,422074
2022-09-05,321870
2022-09-06,386527
2022-09-07,433231
2022-09-08,470271
2022-09-12,344392
2022-09-13,370299
2022-09-14,388621
2022-09-15,403157
2022-09-16,418039
2022-09-19,381505
2022-09-20,393847
2022-09-21,403488
2022-09-22,406714
2022-09-23,431852
2022-09-26,387874
2022-09-27,401260
2022-09-28,406919
2022-09-29,421090
2022-09-30,447702
2022-10-04,375122
2022-10-05,403015
2022-10-06,411026
2022-10-07,439998
2022-10-10,388152
2022-10-11,425762
2022-10-12,430246
2022-10-13,434414
2022-10-14,447892
2022-10-17,402797
2022-10-18,436947
2022-10-19,441322
2022-10-20,448934
2022-10-21,464650
2022-10-24,421049
2022-10-25,440801
2022-10-26,438696
2022-10-27,436454
2022-10-28,456950
2022-10-31,424559
2022-11-01,424237
2022-11-02,436943
2022-11-03,449246
2022-11-04,484056
2022-11-07,441078
2022-11-08,436162
2022-11-09,438266
2022-11-10,445350
2022-11-11,455346
2022-11-14,419759
2022-11-15,440168
2022-11-16,456623
2022-11-17,450814
2022-11-18,477504
2022-11-21,412553
2022-11-22,411282
2022-11-23,431533
2022-11-24,454625
2022-11-25,468654
2022-11-28,410779
2022-11-29,435138
2022-11-30,542109
2022-12-01,583548
2022-12-02,577416
2022-12-05,520433
2022-12-06,499093
2022-12-07,489414
2022-12-08,493213
2022-12-09,499848
2022-12-12,480357
2022-12-13,490341
2022-12-14,546693
2022-12-15,537977
2022-12-16,562028
2022-12-19,552744
2022-12-20,547635
2022-12-21,462437
2022-12-22,543416
2022-12-23,575626
2022-12-26,543914
2022-12-27,536498
2022-12-28,517372
2022-12-29,536229
2022-12-30,526004
