날짜,충전량
2021-01-04,209045
2021-01-05,214953
2021-01-06,221099
2021-01-07,209511
2021-01-08,230097
2021-01-11,223955
2021-01-12,217383
2021-01-13,208976
2021-01-14,201585
2021-01-15,200531
2021-01-18,188500
2021-01-19,223946
2021-01-20,218192
2021-01-21,196908
2021-01-22,194835
2021-01-25,190563
2021-01-26,186264
2021-01-27,204878
2021-01-28,201843
2021-01-29,217549
2021-02-01,189778
2021-02-02,215152
2021-02-03,221260
2021-02-04,215190
2021-02-05,219399
2021-02-08,212428
2021-02-09,225607
2021-02-10,224833
2021-02-15,197651
2021-02-16,212475
2021-02-17,229489
2021-02-18,238038
2021-02-19,228836
2021-02-22,183281
2021-02-23,202756
2021-02-24,205075
2021-02-25,201957
2021-02-26,208332
2021-03-02,206385
2021-03-03,206833
2021-03-04,198493
2021-03-05,207687
2021-03-08,189549
2021-03-09,198964
2021-03-10,199809
2021-03-11,204885
2021-03-12,199247
2021-03-15,195635
2021-03-16,194381
2021-03-17,198897
2021-03-18,196218
2021-03-19,204679
2021-03-22,201620
2021-03-23,203071
2021-03-24,198478
2021-03-25,198305
2021-03-26,210600
2021-03-29,194403
2021-03-30,192821
2021-03-31,193954
2021-04-01,196979
2021-04-02,217729
2021-04-05,208865
2021-04-06,205428
2021-04-07,203905
2021-04-08,210209
2021-04-09,220407
2021-04-12,178053
2021-04-13,212492
2021-04-14,213455
2021-04-15,211808
2021-04-16,210458
2021-04-19,206518
2021-04-20,199923
2021-04-21,207467
2021-04-22,211725
2021-04-23,206400
2021-04-26,200976
2021-04-27,199357
2021-04-28,203186
2021-04-29,209849
2021-04-30,209338
2021-05-03,211606
2021-05-04,194551
2021-05-06,220517
2021-05-07,224207
2021-05-10,205758
2021-05-11,209728
2021-05-12,215881
2021-05-13,221709
2021-05-14,230959
2021-05-17,202958
2021-05-18,225215
2021-05-20,197182
2021-05-21,225813
2021-05-24,218647
2021-05-25,212728
2021-05-26,214725
2021-05-27,216248
2021-05-28,226270
2021-05-31,207929
2021-06-01,214654
2021-06-02,229121
2021-06-03,199157
2021-06-04,251279
2021-06-07,220119
2021-06-08,228869
2021-06-09,236761
2021-06-10,229889
2021-06-11,227159
2021-06-14,224399
2021-06-15,206727
2021-06-16,227969
2021-06-17,225044
2021-06-18,237604
2021-06-21,233799
2021-06-22,228120
2021-06-23,225708
2021-06-24,238067
2021-06-25,255841
2021-06-28,233414
2021-06-29,232354
2021-06-30,240211
2021-07-01,252893
2021-07-02,263108
2021-07-05,226253
2021-07-06,221624
2021-07-07,230052
2021-07-08,248189
2021-07-09,253599
2021-07-12,252877
2021-07-13,259659
2021-07-14,261765
2021-07-15,265798
2021-07-16,267525
2021-07-19,253105
2021-07-20,258558
2021-07-21,262808
2021-07-22,269868
2021-07-23,274426
2021-07-26,250901
2021-07-27,259008
2021-07-28,256616
2021-07-29,267075
2021-07-30,277478
2021-08-02,240250
2021-08-03,256477
2021-08-04,264294
2021-08-05,272613
2021-08-06,271637
2021-08-09,245128
2021-08-10,244545
2021-08-11,254963
2021-08-12,254220
2021-08-13,260661
2021-08-16,225198
2021-08-17,234662
2021-08-18,237007
2021-08-19,245111
2021-08-20,259095
2021-08-23,213646
2021-08-24,230547
2021-08-25,236007
2021-08-26,257267
2021-08-27,249730
2021-08-30,241912
2021-08-31,227647
2021-09-01,244490
2021-09-02,248069
2021-09-03,263805
2021-09-06,230754
2021-09-07,230718
2021-09-08,255904
2021-09-09,261081
2021-09-10,270799
2021-09-13,250857
2021-09-14,251820
2021-09-15,263365
2021-09-16,262501
2021-09-17,273850
2021-09-23,255472
2021-09-24,255740
2021-09-27,246907
2021-09-28,245288
2021-09-29,238838
2021-09-30,265721
2021-10-01,274905
2021-10-04,291144
2021-10-05,257465
2021-10-06,246127
2021-10-07,267385
2021-10-08,278348
2021-10-11,236764
2021-10-12,263662
2021-10-13,265643
2021-10-14,276179
2021-10-15,273294
2021-10-18,282655
2021-10-19,274984
2021-10-20,285286
2021-10-21,299164
2021-10-22,306981
2021-10-25,282720
2021-10-26,285322
2021-10-27,282645
2021-10-28,291968
2021-10-29,296837
2021-11-01,269252
2021-11-02,279673
2021-11-03,292631
2021-11-04,294971
2021-11-05,306352
2021-11-08,283094
2021-11-09,309947
2021-11-10,329078
2021-11-11,325210
2021-11-12,339030
2021-11-15,298703
2021-11-16,300655
2021-11-17,312137
2021-11-18,301328
2021-11-19,318220
2021-11-22,305012
2021-11-23,335629
2021-11-24,333893
2021-11-25,330133
2021-11-26,334711
2021-11-29,309412
2021-11-30,297345
2021-12-01,355976
2021-12-02,359342
2021-12-03,346602
2021-12-06,312143
2021-12-07,314003
2021-12-08,311943
2021-12-09,324303
2021-12-10,322950
2021-12-13,343664
2021-12-14,338219
2021-12-15,322096
2021-12-16,320401
2021-12-17,378239
2021-12-20,327352
2021-12-21,319582
2021-12-22,332921
2021-12-23,338211
2021-12-24,351915
2021-12-27,383292
2021-12-28,366293
2021-12-29,350108
2021-12-30,359539
2021-12-31,377303
