날짜,충전량
2023-01-02,473200
2023-01-03,492539
2023-01-04,493823
2023-01-05,499878
2023-01-06,505899
2023-01-09,436932
2023-01-10,456526
2023-01-11,465260
2023-01-12,461365
2023-01-13,408134
2023-01-16,498577
2023-01-17,509359
2023-01-18,508140
2023-01-19,518334
2023-01-20,533089
2023-01-24,405640
2023-01-25,541393
2023-01-26,483634
2023-01-27,514226
2023-01-30,466658
2023-01-31,462346
2023-02-01,448098
2023-02-02,478470
2023-02-03,486233
2023-02-06,425525
2023-02-07,434271
2023-02-08,438902
2023-02-09,451356
2023-02-10,452350
2023-02-13,417599
2023-02-14,430518
2023-02-15,445632
2023-02-16,452535
2023-02-17,469649
2023-02-20,448749
2023-02-21,476639
2023-02-22,467781
2023-02-23,466359
2023-02-24,473827
2023-02-27,453642
2023-02-28,453116
2023-03-02,441246
2023-03-03,466018
2023-03-06,403232
2023-03-07,405433
2023-03-08,396127
2023-03-09,401372
2023-03-10,417722
2023-03-13,427272
2023-03-14,437681
2023-03-15,411080
2023-03-16,423360
2023-03-17,447695
2023-03-20,407515
2023-03-21,398405
2023-03-22,396970
2023-03-23,380537
2023-03-24,429017
2023-03-27,424353
2023-03-28,425333
2023-03-29,417713
2023-03-30,418363
2023-03-31,433107
2023-04-03,389945
2023-04-04,385759
2023-04-05,351678
2023-04-06,417916
2023-04-07,459937
2023-04-10,404962
2023-04-11,378960
2023-04-12,403575
2023-04-13,414621
2023-04-14,406394
2023-04-17,406394
2023-04-18,372806
2023-04-19,391733
2023-04-20,398281
2023-04-21,416423
2023-04-24,380435
2023-04-25,365847
2023-04-26,431459
2023-04-27,424966
2023-04-28,435851
2023-05-02,401378
2023-05-03,403405
2023-05-04,422431
2023-05-08,410449
2023-05-09,406755
2023-05-10,401504
2023-05-11,414443
2023-05-12,425150
2023-05-15,398308
2023-05-16,397703
2023-05-17,413289
2023-05-18,375284
2023-05-19,425702
2023-05-22,380105
2023-05-23,401445
2023-05-24,395639
2023-05-25,410957
2023-05-26,426377
2023-05-29,319238
2023-05-30,388884
2023-05-31,400990
2023-06-01,373501
2023-06-02,427960
2023-06-05,404858
2023-06-07,390825
2023-06-08,400849
2023-06-09,422692
2023-06-12,385900
2023-06-13,395103
2023-06-14,389974
2023-06-15,408620
2023-06-16,432220
2023-06-19,403510
2023-06-20,389635
2023-06-21,363096
2023-06-22,407696
2023-06-23,435872
2023-06-26,354856
2023-06-27,402966
2023-06-28,409288
2023-06-29,360328
2023-06-30,463082
2023-07-03,400457
2023-07-04,356134
2023-07-05,404673
2023-07-06,416836
2023-07-07,381855
2023-07-10,391725
2023-07-11,355860
2023-07-12,403000
2023-07-13,370987
2023-07-14,366364
2023-07-17,378608
2023-07-18,341000
2023-07-19,417662
2023-07-20,420957
2023-07-21,437350
2023-07-24,373834
2023-07-25,398381
2023-07-26,419037
2023-07-27,444383
2023-07-28,448413
2023-07-31,412985
2023-08-01,430417
2023-08-02,436442
2023-08-03,442393
2023-08-04,449551
2023-08-07,413198
2023-08-08,437043
2023-08-09,384374
2023-08-10,301801
2023-08-11,405600
2023-08-14,409849
2023-08-16,408312
2023-08-17,414323
2023-08-18,423980
2023-08-21,401637
2023-08-22,386475
2023-08-23,369968
2023-08-24,377390
2023-08-25,419315
2023-08-28,368524
2023-08-29,352762
2023-08-30,353518
2023-08-31,400665
2023-09-01,401992
2023-09-04,380105
2023-09-05,384383
2023-09-06,397072
2023-09-07,398564
2023-09-08,409335
2023-09-11,382411
2023-09-12,388684
2023-09-13,363826
2023-09-14,379041
2023-09-15,380936
2023-09-18,397512
2023-09-19,398617
2023-09-20,342917
2023-09-21,387313
2023-09-22,404970
2023-09-25,376120
2023-09-26,365027
2023-09-27,419067
2023-10-02,329526
2023-10-04,332123
2023-10-05,364911
2023-10-06,386979
2023-10-10,357014
2023-10-11,368284
2023-10-12,371243
2023-10-13,381496
2023-10-16,357578
2023-10-17,370079
2023-10-18,379122
2023-10-19,360928
2023-10-20,396508
2023-10-23,368863
2023-10-24,358827
2023-10-25,370089
2023-10-26,368452
2023-10-27,395900
2023-10-30,363751
2023-10-31,364558
2023-11-01,363863
2023-11-02,361863
2023-11-03,380374
2023-11-06,344477
2023-11-07,389777
2023-11-08,401619
2023-11-09,380553
2023-11-10,420308
2023-11-13,434683
2023-11-14,424658
2023-11-15,414352
2023-11-16,407934
2023-11-17,458258
2023-11-20,399173
2023-11-21,407792
2023-11-22,399351
2023-11-23,388327
2023-11-24,451245
2023-11-27,395768
2023-11-28,422391
2023-11-29,439906
2023-11-30,481116
2023-12-01,488665
2023-12-04,414405
2023-12-05,406044
2023-12-06,400675
2023-12-07,408607
2023-12-08,402929
2023-12-11,324091
2023-12-12,392824
2023-12-13,397248
2023-12-14,366912
2023-12-15,396814
2023-12-18,505106
2023-12-19,487384
2023-12-20,477375
2023-12-21,522596
2023-12-22,566238
2023-12-26,405760
2023-12-27,395934
2023-12-28,415988
2023-12-29,420845
