날짜,기온
2022-01-03,-2.39
2022-01-04,-1.97
2022-01-05,-3.07
2022-01-06,-1.88
2022-01-07,-1.63
2022-01-10,0.34
2022-01-11,-6.53
2022-01-12,-7.87
2022-01-13,-6.3
2022-01-14,-5.18
2022-01-17,-5.65
2022-01-18,-5.77
2022-01-19,-5.15
2022-01-20,-5.02
2022-01-21,-2.75
2022-01-24,4.41
2022-01-25,3.04
2022-01-26,1.56
2022-01-27,-0.79
2022-01-28,-2.51
2022-02-03,-3.3
2022-02-04,-4.93
2022-02-07,-2.74
2022-02-08,-0.14
2022-02-09,0.9
2022-02-10,1.6
2022-02-11,2.74
2022-02-14,2.69
2022-02-15,-4.22
2022-02-16,-7.22
2022-02-17,-6.48
2022-02-18,-1.7
2022-02-21,-2.96
2022-02-22,-4.33
2022-02-23,-5.74
2022-02-24,-2.81
2022-02-25,2.34
2022-02-28,6.53
2022-03-02,3.08
2022-03-03,5.8
2022-03-04,6.84
2022-03-07,2.49
2022-03-08,5.87
2022-03-09,7.06
2022-03-10,9.11
2022-03-11,10.9
2022-03-14,8.65
2022-03-15,7.14
2022-03-16,9.78
2022-03-17,10.88
2022-03-18,7.62
2022-03-21,4.69
2022-03-22,6.92
2022-03-23,6.2
2022-03-24,7.9
2022-03-25,11.73
2022-03-28,8.15
2022-03-29,9.42
2022-03-30,10.63
2022-03-31,11.13
2022-04-01,9.26
2022-04-04,10.23
2022-04-05,10.1
2022-04-06,11.72
2022-04-07,11.14
2022-04-08,12.44
2022-04-11,19.38
2022-04-12,19.6
2022-04-13,13.45
2022-04-14,13.17
2022-04-15,13.3
2022-04-18,15.17
2022-04-19,15.13
2022-04-20,15.65
2022-04-21,16.06
2022-04-22,15.13
2022-04-25,19.76
2022-04-26,22.05
2022-04-27,17.92
2022-04-28,17.96
2022-04-29,13.73
2022-05-02,14.08
2022-05-03,14.79
2022-05-04,17.56
2022-05-06,19.47
2022-05-09,17.58
2022-05-10,19.71
2022-05-11,19.75
2022-05-12,20.67
2022-05-13,19.76
2022-05-16,17.15
2022-05-17,19.85
2022-05-18,19.88
2022-05-19,19.96
2022-05-20,20.65
2022-05-23,22.85
2022-05-24,22.85
2022-05-25,21.18
2022-05-26,18.64
2022-05-27,19.95
2022-05-30,21.08
2022-05-31,20.5
2022-06-01,22.27
2022-06-02,21.38
2022-06-03,24.1
2022-06-07,20.42
2022-06-08,21.05
2022-06-09,20.88
2022-06-10,20.9
2022-06-13,23.56
2022-06-14,21.81
2022-06-15,17.42
2022-06-16,20.46
2022-06-17,22.25
2022-06-20,25.08
2022-06-21,26.53
2022-06-22,25.85
2022-06-23,24.38
2022-06-24,22.85
2022-06-27,26.69
2022-06-28,27.14
2022-06-29,25.2
2022-06-30,22.5
2022-07-01,26.36
2022-07-04,29.22
2022-07-05,29.21
2022-07-06,29.41
2022-07-07,28.34
2022-07-08,26.12
2022-07-11,27.04
2022-07-12,26.69
2022-07-13,25.15
2022-07-14,25.78
2022-07-15,26.12
2022-07-18,26.78
2022-07-19,27.32
2022-07-20,27.15
2022-07-21,23.27
2022-07-22,25.01
2022-07-25,27.38
2022-07-26,28.78
2022-07-27,29.36
2022-07-28,29.54
2022-07-29,30.61
2022-08-01,28.34
2022-08-02,27.03
2022-08-03,27.03
2022-08-04,28.9
2022-08-05,29.25
2022-08-08,26.9
2022-08-09,25.48
2022-08-10,24.41
2022-08-11,24.91
2022-08-12,26.9
2022-08-16,26.87
2022-08-17,26.13
2022-08-18,25.45
2022-08-19,25.66
2022-08-22,27.14
2022-08-23,25.36
2022-08-24,24.73
2022-08-25,22.41
2022-08-26,23.6
2022-08-29,21.12
2022-08-30,19.15
2022-08-31,21.63
2022-09-01,23.86
2022-09-02,24.67
2022-09-05,19.61
2022-09-06,20.75
2022-09-07,22.8
2022-09-08,23.0
2022-09-12,23.78
2022-09-13,24.2
2022-09-14,24.65
2022-09-15,25.05
2022-09-16,25.82
2022-09-19,25.13
2022-09-20,20.06
2022-09-21,19.31
2022-09-22,19.58
2022-09-23,18.04
2022-09-26,19.9
2022-09-27,20.71
2022-09-28,20.38
2022-09-29,20.51
2022-09-30,20.75
2022-10-04,18.52
2022-10-05,16.58
2022-10-06,15.68
2022-10-07,14.55
2022-10-10,9.95
2022-10-11,11.08
2022-10-12,13.27
2022-10-13,16.12
2022-10-14,16.86
2022-10-17,11.76
2022-10-18,9.38
2022-10-19,10.27
2022-10-20,12.59
2022-10-21,14.05
2022-10-24,10.87
2022-10-25,11.16
2022-10-26,12.55
2022-10-27,13.28
2022-10-28,13.59
2022-10-31,14.91
2022-11-01,13.5
2022-11-02,11.04
2022-11-03,9.66
2022-11-04,5.19
2022-11-07,10.97
2022-11-08,13.13
2022-11-09,11.23
2022-11-10,13.51
2022-11-11,15.49
2022-11-14,10.0
2022-11-15,7.99
2022-11-16,8.53
2022-11-17,10.12
2022-11-18,10.92
2022-11-21,12.03
2022-11-22,10.65
2022-11-23,11.16
2022-11-24,9.28
2022-11-25,11.87
2022-11-28,11.78
2022-11-29,8.25
2022-11-30,-4.91
2022-12-01,-5.39
2022-12-02,-2.94
2022-12-05,-3.25
2022-12-06,0.49
2022-12-07,4.88
2022-12-08,3.92
2022-12-09,4.59
2022-12-12,1.76
2022-12-13,0.81
2022-12-14,-8.15
2022-12-15,-4.72
2022-12-16,-6.2
2022-12-19,-7.38
2022-12-20,-3.67
2022-12-21,0.09
2022-12-22,-7.12
2022-12-23,-11.71
2022-12-26,-3.98
2022-12-27,-2.64
2022-12-28,-2.92
2022-12-29,-3.3
2022-12-30,-1.38
