일자,충전방식,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
2022-01-21,급속,4400,3040,2120,1160,2280,3600,5920,11080,16400,18000,21240,23040,26440,25280,23680,22840,24000,22800,20840,18840,14280,12720,9760,7600
2022-01-21,완속,728,714,266,161,56,175,322,504,931,924,1463,1519,1505,1617,1757,1946,2548,3423,4095,3815,3752,2555,2373,2345
2022-01-22,급속,4320,3360,2600,1640,2600,2960,5560,9280,12480,17560,18760,21360,21200,21640,21400,21160,20400,20280,16840,13040,10360,9320,7400,5480
2022-01-22,완속,854,854,350,224,70,133,273,441,679,1204,1253,1400,1750,1736,1876,2142,2338,2569,2604,2471,2429,2275,2023,2016
2022-01-23,급속,3520,2320,2000,1360,1120,1720,3880,6280,8840,11080,15200,16640,17880,17400,18400,17640,18080,18320,14080,12200,11000,7920,6600,4720
2022-01-23,완속,679,679,315,273,70,63,287,357,560,1050,1449,1323,1827,1785,1687,2359,2667,2884,3059,2478,2345,2205,1568,1547
2022-01-24,급속,2400,1800,1200,1120,1960,2960,3920,7480,12280,15040,16960,20280,19960,21360,21080,23760,22320,20880,17520,15400,11880,9240,8000,6040
2022-01-24,완속,525,511,210,105,42,42,224,336,763,1064,1141,1155,1358,1421,1316,1799,2436,3038,3745,3227,3094,2618,2093,2065
2022-01-25,급속,2800,2120,1720,1200,1960,3080,5320,8160,11200,14440,13760,18680,22160,19520,20480,22040,23040,19720,18400,16840,12320,11120,8960,7200
2022-01-25,완속,651,651,224,119,91,133,203,343,784,945,994,1428,1365,1316,1407,1617,2401,3367,3675,3703,3626,2499,2205,1855
2022-01-26,급속,2920,2240,1800,1400,1800,3280,5240,9480,13480,16880,17000,19960,22000,22320,21160,23120,21120,21400,19520,17400,14920,11000,9560,7240
2022-01-26,완속,679,665,294,168,84,105,280,483,875,1155,1085,1456,1428,1302,1799,1771,2548,3010,3717,3752,2989,2919,2331,2303
2022-01-27,급속,3520,2840,1840,1520,2240,3880,5040,9480,13720,17800,17520,20800,22560,21840,22720,20640,23080,22480,20880,17960,15040,11120,8240,7120
2022-01-27,완속,637,630,287,231,98,84,245,518,861,1134,1127,1400,1456,1274,1421,1778,2156,3283,3871,3507,2702,3059,3017,2198
