날짜,기온
2020-08-03,25.08
2020-08-04,26.83
2020-08-05,26.58
2020-08-06,24.33
2020-08-07,24.2
2020-08-10,26.58
2020-08-11,24.74
2020-08-12,27.06
2020-08-13,28.02
2020-08-14,27.22
2020-08-17,28.26
2020-08-18,27.54
2020-08-19,27.15
2020-08-20,27.55
2020-08-21,26.61
2020-08-24,27.53
2020-08-25,29.72
2020-08-26,30.4
2020-08-27,27.22
2020-08-28,27.39
2020-08-31,26.33
2020-09-01,26.61
2020-09-02,24.62
2020-09-03,22.8
2020-09-04,23.28
2020-09-07,19.04
2020-09-08,23.21
2020-09-09,21.41
2020-09-10,22.54
2020-09-11,22.61
2020-09-14,21.32
2020-09-15,22.76
2020-09-16,22.62
2020-09-17,21.32
2020-09-18,21.53
2020-09-21,19.14
2020-09-22,20.06
2020-09-23,19.23
2020-09-24,20.65
2020-09-25,20.26
2020-09-28,20.59
2020-09-29,19.65
2020-10-05,13.2
2020-10-06,14.06
2020-10-07,15.86
2020-10-08,17.24
2020-10-12,16.6
2020-10-13,13.42
2020-10-14,13.21
2020-10-15,11.52
2020-10-16,11.84
2020-10-19,15.1
2020-10-20,15.27
2020-10-21,14.1
2020-10-22,13.82
2020-10-23,8.8
2020-10-26,12.92
2020-10-27,13.73
2020-10-28,14.28
2020-10-29,10.77
2020-10-30,11.99
2020-11-02,11.22
2020-11-03,5.45
2020-11-04,4.82
2020-11-05,9.15
2020-11-06,13.11
2020-11-09,5.25
2020-11-10,7.62
2020-11-11,9.23
2020-11-12,10.35
2020-11-13,12.05
2020-11-16,12.18
2020-11-17,15.54
2020-11-18,16.52
2020-11-19,14.39
2020-11-20,3.34
2020-11-23,1.69
2020-11-24,2.85
2020-11-25,4.39
2020-11-26,5.55
2020-11-27,4.47
2020-11-30,-0.3
2020-12-01,0.99
2020-12-02,2.52
2020-12-03,0.98
2020-12-04,-0.73
2020-12-07,3.8
2020-12-08,-0.32
2020-12-09,1.05
2020-12-10,5.78
2020-12-11,5.36
2020-12-14,-7.45
2020-12-15,-8.27
2020-12-16,-8.2
2020-12-17,-5.49
2020-12-18,-1.62
2020-12-21,-1.25
2020-12-22,1.67
2020-12-23,4.14
2020-12-24,3.36
2020-12-28,6.92
2020-12-29,1.03
2020-12-30,-10.37
2020-12-31,-12.7
