날짜,기온
2020-01-02,0.99
2020-01-03,0.12
2020-01-06,2.72
2020-01-07,6.06
2020-01-08,3.14
2020-01-09,-0.9
2020-01-10,-0.82
2020-01-13,-2.65
2020-01-14,-2.37
2020-01-15,-2.71
2020-01-16,-1.78
2020-01-17,-0.64
2020-01-20,0.98
2020-01-21,-0.64
2020-01-22,2.76
2020-01-23,4.58
2020-01-27,6.01
2020-01-28,6.86
2020-01-29,6.05
2020-01-30,5.34
2020-01-31,4.12
2020-02-03,-0.0
2020-02-04,-1.42
2020-02-05,-7.95
2020-02-06,-6.49
2020-02-07,-2.26
2020-02-10,3.82
2020-02-11,6.32
2020-02-12,7.33
2020-02-13,6.71
2020-02-14,7.99
2020-02-17,-5.64
2020-02-18,-4.27
2020-02-19,0.6
2020-02-20,4.38
2020-02-21,6.38
2020-02-24,6.45
2020-02-25,6.88
2020-02-26,6.45
2020-02-27,6.22
2020-02-28,4.5
2020-03-02,3.52
2020-03-03,4.65
2020-03-04,2.57
2020-03-05,1.1
2020-03-06,3.43
2020-03-09,10.75
2020-03-10,7.05
2020-03-11,3.72
2020-03-12,6.32
2020-03-13,5.48
2020-03-16,3.23
2020-03-17,6.48
2020-03-18,9.6
2020-03-19,9.48
2020-03-20,8.51
2020-03-23,10.55
2020-03-24,11.31
2020-03-25,12.23
2020-03-26,14.46
2020-03-27,12.61
2020-03-30,10.07
2020-03-31,11.49
2020-04-01,11.74
2020-04-02,9.17
2020-04-03,10.0
2020-04-06,9.09
2020-04-07,10.59
2020-04-08,9.47
2020-04-09,8.96
2020-04-10,10.64
2020-04-13,11.93
2020-04-14,13.03
2020-04-15,13.1
2020-04-16,15.7
2020-04-17,12.69
2020-04-20,10.24
2020-04-21,7.59
2020-04-22,6.04
2020-04-23,7.7
2020-04-24,9.56
2020-04-27,12.85
2020-04-28,13.69
2020-04-29,14.88
2020-05-04,20.7
2020-05-06,18.99
2020-05-07,20.59
2020-05-08,20.33
2020-05-11,16.65
2020-05-12,14.18
2020-05-13,15.99
2020-05-14,18.7
2020-05-15,16.44
2020-05-18,19.46
2020-05-19,13.34
2020-05-20,14.12
2020-05-21,17.02
2020-05-22,18.58
2020-05-25,16.7
2020-05-26,16.18
2020-05-27,17.37
2020-05-28,18.6
2020-05-29,20.54
2020-06-01,19.84
2020-06-02,17.9
2020-06-03,21.84
2020-06-04,21.91
2020-06-05,22.86
2020-06-08,24.78
2020-06-09,26.6
2020-06-10,26.07
2020-06-11,25.93
2020-06-12,24.86
2020-06-15,22.78
2020-06-16,24.3
2020-06-17,24.4
2020-06-18,23.31
2020-06-19,24.79
2020-06-22,28.33
2020-06-23,27.29
2020-06-24,22.83
2020-06-25,21.54
2020-06-26,21.66
2020-06-29,24.06
2020-06-30,20.18
2020-07-01,20.97
2020-07-02,24.03
2020-07-03,25.66
2020-07-06,25.56
2020-07-07,24.23
2020-07-08,25.45
2020-07-09,27.07
2020-07-10,25.06
2020-07-13,18.98
2020-07-14,20.12
2020-07-15,23.18
2020-07-16,24.76
2020-07-17,25.85
2020-07-20,24.1
2020-07-21,24.92
2020-07-22,23.78
2020-07-23,21.43
2020-07-24,22.32
2020-07-27,24.28
2020-07-28,24.31
2020-07-29,23.64
2020-07-30,25.45
2020-07-31,26.15
